Year,HD_M_Value,HD_M_US,HD_M_REL_US,HBP_M_Value,HBP_M_US,HBP_M_REL_US,HC_M_Value,HC_M_US,HC_M_REL_US,OB_M_Value,OB_M_US,OB_M_REL_US,DB_M_Value,DB_M_US,DB_M_REL_US,Target_Value
2017Centract,7.9,6.4,0.234375,35.7,32.4,0.101851852,36.4,34.1,0.0674,29.5,30.1,-0.019933555,15.2,10.8,0.407407407,3.1
2017Centract,4.8,6.4,-0.25,48.5,32.4,0.49691358,35.5,34.1,0.0411,28,30.1,-0.069767442,10.2,10.8,-0.055555556,2.8
2017Centract,6.5,6.4,0.015625,54,32.4,0.666666667,39.2,34.1,0.1496,26.9,30.1,-0.106312292,9.4,10.8,-0.12962963,2.7
2017Centract,10.1,6.4,0.578125,26.6,32.4,-0.179012346,27,34.1,-0.2082,26.7,30.1,-0.112956811,8.7,10.8,-0.194444444,2.8
2017Centract,6.8,6.4,0.0625,55.5,32.4,0.712962963,26.9,34.1,-0.2111,38.9,30.1,0.292358804,10.4,10.8,-0.037037037,2.3
2017Centract,6.4,6.4,0,38.9,32.4,0.200617284,30.4,34.1,-0.1085,28.2,30.1,-0.063122924,13.4,10.8,0.240740741,5.4
2017Centract,9.3,6.4,0.453125,49.7,32.4,0.533950617,32.1,34.1,-0.0587,26.4,30.1,-0.122923588,7.6,10.8,-0.296296296,6.4
2017Centract,7.7,6.4,0.203125,56,32.4,0.728395062,39.3,34.1,0.1525,31.4,30.1,0.043189369,18.9,10.8,0.75,4.8
2017Centract,5.1,6.4,-0.203125,31.4,32.4,-0.030864198,30.5,34.1,-0.1056,31.8,30.1,0.056478405,0.9,10.8,-0.916666667,2.5
2017Centract,7,6.4,0.09375,53.5,32.4,0.651234568,31.6,34.1,-0.0733,30.7,30.1,0.019933555,7.6,10.8,-0.296296296,2
